uid,variant,temp,model,modality,file,strict,strict_reason,rescued,rescued_reason,schema_status
faa67d8f,1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/faa67d8f_v1_t0_5.json,1.0,ok,1.0,ok,strict
47817359,0,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/47817359_v0_t0_0.json,1.0,ok,1.0,ok,strict
27910ee5,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/27910ee5_v1_t0_0.json,1.0,ok,1.0,ok,strict
0dd1e9ca,1,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/0dd1e9ca_v1_t0_0.json,1.0,ok,1.0,ok,strict
bbf22c00,2,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/bbf22c00_v2_t0_0.json,1.0,ok,1.0,ok,strict
8fc9d168,0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/8fc9d168_v0_t0_5.json,1.0,ok,1.0,ok,strict
936aa3e5,0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/936aa3e5_v0_t0_5.json,1.0,ok,1.0,ok,strict
2bc72355,2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/2bc72355_v2_t0_0.json,1.0,ok,1.0,ok,strict
9cebf902,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/9cebf902_v1_t0_0.json,1.0,ok,1.0,ok,strict
85a846ff,0,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/85a846ff_v0_t0_5.json,1.0,ok,1.0,ok,strict
8cc4a9e1,2,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/8cc4a9e1_v2_t0_0.json,1.0,ok,1.0,ok,strict
7e365caf,2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/7e365caf_v2_t0_5.json,1.0,ok,1.0,ok,strict
f260aa25,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/f260aa25_v1_t0_0.json,1.0,ok,1.0,ok,strict
9652a31e,2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/9652a31e_v2_t0_5.json,1.0,ok,1.0,ok,strict
07080553,0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/07080553_v0_t0_0.json,1.0,ok,1.0,ok,strict
ab599408,2,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/ab599408_v2_t0_0.json,0.0,{'error': 'unable'} is not valid under any of the given schemas,0.0,{'error': 'unable'} is not valid under any of the given schemas,fail
25c9f684,0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/25c9f684_v0_t0_5.json,1.0,ok,1.0,ok,strict
0c07452f,2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/0c07452f_v2_t0_5.json,1.0,ok,1.0,ok,strict
2bc72355,0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/2bc72355_v0_t0_5.json,1.0,ok,1.0,ok,strict
85a846ff,2,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/85a846ff_v2_t0_0.json,1.0,ok,1.0,ok,strict
dc35566b,1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/dc35566b_v1_t0_5.json,1.0,ok,1.0,ok,strict
47817359,2,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/47817359_v2_t0_5.json,0.0,{'error': 'unable'} is not valid under any of the given schemas,0.0,{'error': 'unable'} is not valid under any of the given schemas,fail
1b64c419,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/1b64c419_v1_t0_0.json,1.0,ok,1.0,ok,strict
bbf22c00,0,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/bbf22c00_v0_t0_5.json,1.0,ok,1.0,ok,strict
a79efa23,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/a79efa23_v1_t0_0.json,1.0,ok,1.0,ok,strict
8fc9d168,2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/8fc9d168_v2_t0_0.json,1.0,ok,1.0,ok,strict
936aa3e5,2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/936aa3e5_v2_t0_0.json,1.0,ok,1.0,ok,strict
9652a31e,0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/9652a31e_v0_t0_0.json,1.0,ok,1.0,ok,strict
25c9f684,2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/25c9f684_v2_t0_0.json,1.0,ok,1.0,ok,strict
ab599408,0,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/ab599408_v0_t0_5.json,1.0,ok,1.0,ok,strict
07080553,2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/07080553_v2_t0_5.json,1.0,ok,1.0,ok,strict
f6d74921,1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/f6d74921_v1_t0_5.json,1.0,ok,1.0,ok,strict
