uid,variant,temp,model,modality,file,strict,strict_reason,rescued,rescued_reason,schema_status
ab599408,2,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/ab599408_v2_t0_0.json,0.0,{'error': 'unable'} is not valid under any of the given schemas,0.0,{'error': 'unable'} is not valid under any of the given schemas,fail
47817359,2,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/47817359_v2_t0_5.json,0.0,{'error': 'unable'} is not valid under any of the given schemas,0.0,{'error': 'unable'} is not valid under any of the given schemas,fail
0dd1e9ca,0,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/0dd1e9ca_v0_t0_0.json,0.0,"[{'action': 'select', 'selector': 'select[name*=report i]', 'text': 'Financial Summary Report'}, {'action': 'click', 'selector': 'button:has-text(""generate"" i)'}, {'action': 'wait', 'text': '5000'}, {'action': 'click', 'selector': 'a:has-text(""download"" i)'}] is not valid under any of the given schemas",0.0,"[{'action': 'select', 'selector': 'select[name*=report i]', 'text': 'Financial Summary Report'}, {'action': 'click', 'selector': 'button:has-text(""generate"" i)'}, {'action': 'wait', 'text': '5000'}, {'action': 'click', 'selector': 'a:has-text(""download"" i)'}] is not valid under any of the given schemas",fail
47817359,2,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/47817359_v2_t0_0.json,0.0,"['input[name*=account i]', 'input[name*=amount i], input[type=number]', 'textarea[name*=memo i]', 'button:has-text(""post"" i), button:has-text(""save"" i)'] is not valid under any of the given schemas",0.0,"['input[name*=account i]', 'input[name*=amount i], input[type=number]', 'textarea[name*=memo i]', 'button:has-text(""post"" i), button:has-text(""save"" i)'] is not valid under any of the given schemas",fail
47817359,0,0.0,gemini-2.0-flash,GUI,gemini/gemini-2.0-flash/47817359_v0_t0_0.json,0.0,no parsable JSON,0.0,no parsable JSON,fail
bbf22c00,2,0.0,gemini-2.0-flash,GUI,gemini/gemini-2.0-flash/bbf22c00_v2_t0_0.json,0.0,"[{'click': 'table:has-text(""order"" i) >> tr >> input[type=checkbox]'}, {'click': 'table:has-text(""invoice"" i) >> tr >> input[type=checkbox]'}, {'click': 'button:has-text(""match"" i)'}, {'click': 'button:has-text(""record"" i)'}] is not valid under any of the given schemas",0.0,"[{'click': 'table:has-text(""order"" i) >> tr >> input[type=checkbox]'}, {'click': 'table:has-text(""invoice"" i) >> tr >> input[type=checkbox]'}, {'click': 'button:has-text(""match"" i)'}, {'click': 'button:has-text(""record"" i)'}] is not valid under any of the given schemas",fail
85a846ff,0,0.5,gemini-2.0-flash,GUI,gemini/gemini-2.0-flash/85a846ff_v0_t0_5.json,0.0,no parsable JSON,0.0,no parsable JSON,fail
8cc4a9e1,2,0.0,gemini-2.0-flash,GUI,gemini/gemini-2.0-flash/8cc4a9e1_v2_t0_0.json,0.0,"[{'action': 'wait_for_input', 'selectors': ['input[name*=space i], input[placeholder*=space i]', 'input[name*=charge i]']}, {'action': 'click', 'selectors': ['button:has-text(""calculate"" i), button:has-text(""compute"" i)']}, {'action': 'click', 'selectors': ['button:has-text(""save"" i)']}] is not valid under any of the given schemas",0.0,"[{'action': 'wait_for_input', 'selectors': ['input[name*=space i], input[placeholder*=space i]', 'input[name*=charge i]']}, {'action': 'click', 'selectors': ['button:has-text(""calculate"" i), button:has-text(""compute"" i)']}, {'action': 'click', 'selectors': ['button:has-text(""save"" i)']}] is not valid under any of the given schemas",fail
ab599408,2,0.0,gemini-2.0-flash,GUI,gemini/gemini-2.0-flash/ab599408_v2_t0_0.json,0.0,no parsable JSON,0.0,no parsable JSON,fail
85a846ff,2,0.0,gemini-2.0-flash,GUI,gemini/gemini-2.0-flash/85a846ff_v2_t0_0.json,0.0,no parsable JSON,0.0,no parsable JSON,fail
47817359,2,0.5,gemini-2.0-flash,GUI,gemini/gemini-2.0-flash/47817359_v2_t0_5.json,0.0,no parsable JSON,0.0,no parsable JSON,fail
bbf22c00,0,0.5,gemini-2.0-flash,GUI,gemini/gemini-2.0-flash/bbf22c00_v0_t0_5.json,0.0,no parsable JSON,0.0,no parsable JSON,fail
