model,modality,ok,total,pct_ok
claude-3-5-sonnet-20240620,GUI,26,36,72.2
claude-3-5-sonnet-20240620,TEXT,62,102,60.8
claude-3-opus-20240229,GUI,31,36,86.1
claude-3-opus-20240229,TEXT,0,102,0.0
gemini-2.0-flash,GUI,10,36,27.8
gemini-2.0-flash,TEXT,23,102,22.5
gemini-2.5-flash-preview-05-20,GUI,32,36,88.9
gemini-2.5-flash-preview-05-20,TEXT,99,102,97.1
gpt-3.5-turbo,GUI,24,36,66.7
gpt-3.5-turbo,TEXT,102,102,100.0
gpt-4,GUI,33,36,91.7
gpt-4,TEXT,98,102,96.1
gpt-4-turbo,GUI,30,36,83.3
gpt-4-turbo,TEXT,102,102,100.0
gpt-4.1,GUI,22,36,61.1
gpt-4.1,TEXT,102,102,100.0
gpt-4o,GUI,27,36,75.0
gpt-4o,TEXT,99,102,97.1
llama3-8b-8192,GUI,28,36,77.8
llama3-8b-8192,TEXT,62,102,60.8
