uid,variant,temp,model,modality,file,strict,strict_reason,rescued,rescued_reason,schema_status,iou,iou_reason
d21fc252,0,0.0,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v0_t0_0.json,1,ok,1,ok,strict,0.0000,IoU 0.00 < 0.5
ce0be4e8,2,0.0,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v2_t0_0.json,1,ok,1,ok,strict,0.0000,missed abnormal
d21fc252,2,0.5,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v2_t0_5.json,1,ok,1,ok,strict,0.0000,missed abnormal
ce0be4e8,0,0.5,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v0_t0_5.json,1,ok,1,ok,strict,0.0000,wrong image_id
d21fc252,1,0.0,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v1_t0_0.json,1,ok,1,ok,strict,0.0000,missed abnormal
ce0be4e8,1,0.5,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v1_t0_5.json,1,ok,1,ok,strict,0.0000,missed abnormal
d21fc252,2,0.0,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v2_t0_0.json,1,ok,1,ok,strict,0.0000,missed abnormal
ce0be4e8,0,0.0,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v0_t0_0.json,1,ok,1,ok,strict,0.0000,wrong image_id
d21fc252,0,0.5,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v0_t0_5.json,1,ok,1,ok,strict,0.0000,IoU 0.00 < 0.5
ce0be4e8,2,0.5,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v2_t0_5.json,1,ok,1,ok,strict,0.0000,missed abnormal
ce0be4e8,1,0.0,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v1_t0_0.json,1,ok,1,ok,strict,0.0000,missed abnormal
d21fc252,1,0.5,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v1_t0_5.json,1,ok,1,ok,strict,0.0000,missed abnormal
d21fc252,0,0.0,gemini-2.0-flash,VISION,gemini/gemini-2.0-flash/d21fc252_v0_t0_0.json,0,invalid image_id,0,invalid image_id,fail,0.0000,schema fail
ce0be4e8,2,0.0,gemini-2.0-flash,VISION,gemini/gemini-2.0-flash/ce0be4e8_v2_t0_0.json,1,ok,1,ok,strict,0.0000,missed abnormal
